,Billcode,Mean_Forecasted_Revenue_2013
1,C01,6774.664594
2,C15,4394.68762
3,I01,5499.168131
4,I02,9650.33126
5,I03,1767.262503
6,I04,512.45
7,I15,10649.76484
8,I34,3545.074919
9,I58,59.6758959
10,IA2,18732.32232
11,IC3,89332.08197
12,ID3,11145.03385
13,IG0,47497.531
14,IH1,5867.063469
15,IM0,126.4482759
16,IR0,13281.01504
17,J01,NA
18,J03,NA
19,J34,7.12625
20,J58,NA
21,P01,49.14673677
22,P02,46.13242838
23,P03,51.04555556
24,P15,35.52459029
25,P34,704.7785015
26,P58,24.46185539
27,Q01,9.526666667
28,Q34,6.434762626
29,Q58,NA
30,V01,20.27
31,V02,36.4725
32,V03,0
33,V15,34.67996068
34,V34,10.31
35,V58,11.45
36,W01,70175.39779
37,W02,45341.20077
38,W03,21270.07477
39,W04,16128.28748
40,W06,11953.37163
41,W08,3788.629086
42,W10,1850.101661
43,W15,67504.41361
44,W34,427307.4301
45,W58,-298.8836994
46,WA6,281125.5659
47,WC3,50.29662108
48,WCB,0
49,WCJ,146773.8076
50,WCR,178305.1876
51,WD7,84406.16764
52,WGG,3041.376233
53,WGO,7305.155218
54,WHH,12690.33115
55,WHP,35500.262
56,WM4,5934.840468
57,WR0,235.1188065
58,WR2,762485.3583
59,WS1,18.22357143
60,WS3,10139.29583
61,WT5,255.7252037
